Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.43    102.58   102.58                             DoSyscall
 11.59    198.23    95.65 15957702     0.01     0.01  ProjectDlightTexture
  7.19    257.61    59.38 558259956     0.00     0.00  R_ChopPolyBehindPlane
  5.18    300.39    42.78 76849718     0.00     0.00  ComputeTexCoords
  4.47    337.28    36.89 16464136     0.00     0.00  RB_SurfaceMesh
  4.21    372.06    34.78 166682713     0.00     0.00  RB_SurfaceFace
  3.93    404.51    32.45 16464136     0.00     0.00  LerpMeshVertexes
  3.61    434.32    29.81 11109351     0.00     0.00  RB_CalcDiffuseColor
  2.45    454.50    20.19 104160664     0.00     0.00  CM_Trace
  2.12    471.97    17.47   267596     0.07     0.22  R_RecursiveWorldNode
  2.11    489.40    17.44 604152538     0.00     0.00  BoxOnPlaneSide
  2.06    506.43    17.03 315687606     0.00     0.00  R_CullSurface
  1.83    521.52    15.09  2201443     0.01     0.04  R_MarkFragments
  1.82    536.57    15.05 820343669     0.00     0.00  CL_CgameSystemCalls
  1.79    551.36    14.79 76849718     0.00     0.00  ComputeColors
  1.48    563.58    12.22  4378748     0.00     0.00  R_Radix
  1.38    574.94    11.36 13586086     0.00     0.00  RB_SurfaceGrid
  1.33    585.90    10.96 59089453     0.00     0.00  CM_TraceThroughLeaf
  1.31    596.68    10.78  5009313     0.00     0.00  RB_CalcEnvironmentTexCoords
  1.15    606.14     9.47  2201443     0.00     0.01  R_BoxSurfaces_r
  1.07    614.99     8.85  1426760     0.01     0.01  RB_SurfaceTriangles
  0.93    622.68     7.69  1094687     0.01     0.32  RB_RenderDrawSurfList
  0.91    630.21     7.53 47559609     0.00     0.00  myGlMultMatrix
  0.79    636.77     6.56 11943506     0.00     0.00  R_CullLocalBox
  0.79    643.28     6.51 152199108     0.00     0.00  RB_StretchPic
  0.79    649.78     6.50 265535015     0.00     0.00  COM_ParseExt
  0.78    656.24     6.46  6601483     0.00     0.00  CM_TraceThroughTree
  0.69    661.92     5.68 443731280     0.00     0.00  VM_BlockCopy
  0.66    667.35     5.43 66373717     0.00     0.00  RB_SurfacePolychain
  0.65    672.72     5.37 1173724901     0.00     0.00  R_AddWorldSurface
  0.60    677.68     4.96 1011238668     0.00     0.00  VM_ArgPtr
  0.59    682.56     4.88 10818047     0.00     0.00  R_SetupEntityLightingGrid
  0.59    687.41     4.85 261686570     0.00     0.00  R_AddMarkFragments
  0.57    692.14     4.74  2505404     0.00     0.00  ClipSkyPolygon
  0.56    696.79     4.65 61154594     0.00     0.00  CM_TestInLeaf
  0.54    701.27     4.48 640557062     0.00     0.00  FastVectorNormalize
  0.50    705.42     4.15   849625     0.00     0.01  RB_CalcSpecularAlphaNew
  0.41    708.82     3.40 63301745     0.00     0.00  Cvar_Update
  0.40    712.08     3.26 37002951     0.00     0.00  CM_TransformedBoxTrace
  0.37    715.09     3.02 111630308     0.00     0.00  MakeSkyVec
  0.36    718.03     2.94 58768197     0.00     0.00  RB_IterateStagesGeneric
  0.34    720.85     2.82  7555005     0.00     0.00  CM_TraceThroughBrush
  0.32    723.47     2.62 12777526     0.00     0.00  AddSkyPolygon
  0.29    725.90     2.43 33093463     0.00     0.00  Matrix4Multiply
  0.28    728.24     2.34 12677558     0.00     0.00  RB_CalcTransformTexCoords
  0.28    730.54     2.30   270865     0.01     1.48  RB_ExecuteRenderCommands
  0.27    732.80     2.26  1515690     0.00     0.00  FillCloudySkySide
  0.27    734.99     2.19 44093111     0.00     0.00  RE_AddRefEntityToScene
  0.26    737.15     2.16  6597126     0.00     0.00  RB_CalcScaleTexCoords
  0.26    739.28     2.13 282166931     0.00     0.00  R_AddDrawSurf
  0.24    741.23     1.95 59242842     0.00     0.00  RB_BeginSurface
  0.23    743.12     1.90 232539434     0.00     0.00  CM_BoundsIntersect
  0.22    744.96     1.84 327766301     0.00     0.00  FastVectorNormalize
  0.21    746.71     1.75 1375818708     0.00     0.00  _vmf
  0.21    748.46     1.75 30515279     0.00     0.00  R_AddMD3Surfaces
  0.21    750.19     1.73 62435913     0.00     0.00  CM_TestBoxInBrush
  0.21    751.91     1.72  4161642     0.00     0.00  CM_PointLeafnum_r
  0.21    753.62     1.71 58768197     0.00     0.00  RB_StageIteratorGeneric
  0.21    755.33     1.71  1355487     0.00     0.00  RB_CalcDeformVertexes
  0.19    756.93     1.60 14775578     0.00     0.00  RB_AddQuadStampExt
  0.19    758.47     1.54 59471113     0.00     0.00  R_RotateForEntity
  0.18    759.96     1.49   326549     0.00     0.02  FillCloudBox
  0.18    761.41     1.45 103068692     0.00     0.00  NET_Sleep
  0.18    762.86     1.45 152199108     0.00     0.00  RE_StretchPic
  0.17    764.27     1.41 11645170     0.00     0.00  R_SetupEntityLighting
  0.17    765.66     1.39  1094687     0.00     0.02  R_AddEntitySurfaces
  0.17    767.03     1.37 46003650     0.00     0.00  R_CullPointAndRadius
